,review,label,tit_rev,bert_euclid_team,bert_cosine_team,flair_euclid_team,flair_cosine_team,tfidf_cos_preds,keywords_preds
225,"Приложение нравится, но ночью открывать его очень не комфортно. Яркий белый свет прямо в глаза. Отсюда вопрос - будет ли темная тема?",iOS Platform;Global Navigation;iOS Release Engineer,"Будет ли темная тема? Приложение нравится, но ночью открывать его очень не комфортно. Яркий белый свет прямо в глаза. Отсюда вопрос - будет ли темная тема?",iOS Platform,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Platform,[]
228,На айфоне се тормозит,iOS Platform,🙁 На айфоне се тормозит,Самозанятые,Карта в телефоне,iOS Platform,iOS Platform,iOS Platform,['iOS Platform']
229,"В версии от 01.03.20 так и не исправлено: В «всего средств» показывает только информацию о вкладе, мои карты и средства на них не учитывает.",PFM Бюджет;iOS Release Engineer,"Всего средств В версии от 01.03.20 так и не исправлено: В «всего средств» показывает только информацию о вкладе, мои карты и средства на них не учитывает.",Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,Sberbank ID B2C,СБОЛ. Классические переводы,ВС.МП вклады,"['ВС.МП вклады', 'Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит']"
230,"Привяжите раздел Анализ финансов к счету, а не к карте, потому что при замене карты по окончании срока действия все данные, вся история стирается и отчеты начинаются заново со дня выдачи новой карты, хотя счёт один",PFM Бюджет;История операций,"Не все проработано Привяжите раздел Анализ финансов к счету, а не к карте, потому что при замене карты по окончании срока действия все данные, вся история стирается и отчеты начинаются заново со дня выдачи новой карты, хотя счёт один",Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,Sberbank ID B2C,СБОЛ. Классические переводы,PFM Бюджет,"['ЕФС Выписки и справки. Mobile', 'Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит']"
231,Очень часто слетают сохраненные шаблоны,ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы,Не очень Очень часто слетают сохраненные шаблоны,Самозанятые,Самозанятые,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,"['Платежи. Штрафы', 'СБОЛ. Классические переводы', 'ЕФС.Платежи МП']"
234,Вот теперь меня всё устраивает! Приложение на 5+ и с бюджетом полный порядок),PFM Бюджет,Сбербанк онлайн Вот теперь меня всё устраивает! Приложение на 5+ и с бюджетом полный порядок),PFM Бюджет,PFM Бюджет,СБОЛ. Классические переводы,СБОЛ. Классические переводы,PFM Бюджет,['PFM Бюджет']
235,Почему после обновления все сбилось и нужно вводить данные Карты ?,iOS Release Engineer;Дебетовые карты в мобильном приложении,Обновление Почему после обновления все сбилось и нужно вводить данные Карты ?,Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,СБОЛ. Классические переводы,iOS Platform,iOS Release Engineer,"['Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит', 'iOS Release Engineer']"
236,"У меня в приложении не отображается, от кого пришёл перевод. Не в истории. Не в других окнах.",История операций;СБОЛ. Классические переводы;Автопереводы,"Просьба У меня в приложении не отображается, от кого пришёл перевод. Не в истории. Не в других окнах.",ПДВ в Digital,ПДВ в Digital,Sberbank ID B2C,СБОЛ. Классические переводы,ПДВ в Digital,"['ПДВ в Digital', 'Автопереводы', 'СБОЛ. Классические переводы']"
237,"Предложение: сделайте наконец таки возможность обмена «баллов спасибо» на рубли, как это устроено во многих банках. 
Таким образом у вас увеличиться количество клиентов",Развитие лояльности в МП СБОЛ;iOS Release Engineer,"Конвертация Предложение: сделайте наконец таки возможность обмена «баллов спасибо» на рубли, как это устроено во многих банках. 
Таким образом у вас увеличиться количество клиентов",DBP.Витрины продаж,DBP.Витрины продаж,Sberbank ID B2C,СБОЛ. Классические переводы,Развитие лояльности в МП СБОЛ,['Развитие лояльности в МП СБОЛ']
238,Приложение зависает невозможно оплатить за питание в школе и создать шаблон,iOS Platform;ЕФС.Платежи МП;Платежи. Штрафы,Плохо Приложение зависает невозможно оплатить за питание в школе и создать шаблон,Платежи. Штрафы,Платежи. Штрафы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,Платежи. Штрафы,"['Платежи. Штрафы', 'СБОЛ. Классические переводы', 'ЕФС.Платежи МП']"
239,"Здравствуйте уважаемые разработчики , После последнего обновление приложение тормозит и зависает на iPhone SE , будьте добры исправьте этот лаг , спасибо!",iOS Release Engineer;iOS Platform,"Лагает Здравствуйте уважаемые разработчики , После последнего обновление приложение тормозит и зависает на iPhone SE , будьте добры исправьте этот лаг , спасибо!",iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,"['Развитие лояльности в МП СБОЛ', 'iOS Release Engineer', 'iOS Platform']"
240,После обновления все равно зависает!!!,iOS Release Engineer;iOS Platform,Глюк После обновления все равно зависает!!!,iOS Release Engineer,iOS Release Engineer,СБОЛ. Классические переводы,iOS Platform,iOS Platform,"['iOS Release Engineer', 'iOS Platform']"
241,"Когда появится apple pay для карт МИР??? Сколько можно ждать?! Всех переводят на эти карты, а apple pay сделать не могут!!!",Дебетовые карты в мобильном приложении;Карта в телефоне,"Карта Сбербанк МИР Когда появится apple pay для карт МИР??? Сколько можно ждать?! Всех переводят на эти карты, а apple pay сделать не могут!!!",iOS Platform,Карта в телефоне,СБОЛ. Классические переводы,iOS Platform,Плановый и досрочный перевыпуск дебетовых карт,"['Плановый и досрочный перевыпуск дебетовых карт', 'Дебетовые карты в мобильном приложении', 'СБОЛ. Классические переводы']"
242,"А что стало с уведомлениями? 
Приходят через одно и непонятно кто перевел деньги",PUSH IOS;СБОЛ. Классические переводы;Автопереводы,"Дмитрий А что стало с уведомлениями? 
Приходят через одно и непонятно кто перевел деньги",PUSH IOS,PUSH IOS,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,"['Sberbank ID B2C', 'ЕФС.Автоплатежи', 'Платежи. Штрафы']"
243,"Максимально неудобное приложение. После обновления теперь надо выполнить 4 действия вместо одного, чтоб узнать количество бонусов спасибо. Плюс эти диалоги, зачем они вообще нужны, в приложении, где я веду свой баланс, меньше всего хочется отправлять или принимать Сообщения.",PUSH IOS;Развитие лояльности в МП СБОЛ;Мессенджер;Текстовый чат,"Катимся на дно Максимально неудобное приложение. После обновления теперь надо выполнить 4 действия вместо одного, чтоб узнать количество бонусов спасибо. Плюс эти диалоги, зачем они вообще нужны, в приложении, где я веду свой баланс, меньше всего хочется отправлять или принимать Сообщения.",Развитие лояльности в МП СБОЛ,Развитие лояльности в МП СБОЛ,Sberbank ID B2C,СБОЛ. Классические переводы,ВС.МП вклады,"['Развитие лояльности в МП СБОЛ', 'ВС.МП вклады', 'PFM Бюджет']"
244,"После обновления сначала все тормозило, показывало неправильный остаток, теперь вообще не входит! Господа, исправьте, пожалуйста.",iOS Release Engineer;iOS Platform,"Что с приложением? После обновления сначала все тормозило, показывало неправильный остаток, теперь вообще не входит! Господа, исправьте, пожалуйста.",Краудфандинг,iOS Release Engineer,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
245,Измените фон! Зелёные цифры на зелёном фоне - это изыскано!,Global Navigation;iOS Release Engineer;iOS Platform,Оформление Измените фон! Зелёные цифры на зелёном фоне - это изыскано!,СБОЛ. Классические переводы,ЕФС.Платежи МП,Global Navigation,Global Navigation,Global Navigation,[]
246,"Добрый день!Сменил телефон на 11 про перестал работать Face ID. В настройках все включено,звонил в апл сказали обращаться к вам.",iOS Platform,"Face ID Добрый день!Сменил телефон на 11 про перестал работать Face ID. В настройках все включено,звонил в апл сказали обращаться к вам.",iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,[]
247,"Здравствуйте. В разделе «Анализ финансов» при использовании фильтра можно выбрать все карты, либо одну карту для просмотра анализа. Имею 4 карты, двумя пользуюсь чаще всего, но график по ДВУМ картам я посмотреть не могу. 
Предлагаю сделать возможность строить график для нескольких выбранных карт ( к примеру: один график расходов для двух выбранных карт в фильтре.",PFM Бюджет;Дебетовые карты в мобильном приложении,"Предложение Здравствуйте. В разделе «Анализ финансов» при использовании фильтра можно выбрать все карты, либо одну карту для просмотра анализа. Имею 4 карты, двумя пользуюсь чаще всего, но график по ДВУМ картам я посмотреть не могу. 
Предлагаю сделать возможность строить график для нескольких выбранных карт ( к примеру: один график расходов для двух выбранных карт в фильтре.",Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,Sberbank ID B2C,СБОЛ. Классические переводы,PFM Бюджет,"['PFM Бюджет', 'Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит']"
248,"В последнюю неделю Сбербанк вызываем массу неудобств. Сначала внезапно воткнули комиссию. Теперь  приложение глючит. 
По пунктам: 
1)Без информирования по факту и предупреждении клиентов заранее, хотя для этого разумеется есть техническая возможность, банк ввёл комиссию на переводы. Это вызывает резонный вопрос к организации и недоверие. Сначала вы внедряете комиссию, а потом также, без предупреждения счета заморозите? В общем, отношение к клиенту понятно! Впрочем, есть другие банки: Альфа, Тинькофф, Райфайзен... из принципа снял все деньги. Не много, 400 тыс, но даже их я больше не намерен держать в вашей организации. 
2) приложение перестало корректно отображать остаток. Зависло на 500 рублях, хотя на счете чуть больше двух тысяч. Попробую переустановить, надеюсь поможет. Годами все работало нормально, а сейчас начинаются какие-то танцы с бубном. Создается впечатление, что все это как-то связанно с изменением собственника банка. 
В России все государственное работает через ж... а теперь ещё и Сбербанк.",iOS Release Engineer;iOS Platform;СБОЛ. Классические переводы;Автопереводы;PFM Бюджет,"Негатив В последнюю неделю Сбербанк вызываем массу неудобств. Сначала внезапно воткнули комиссию. Теперь  приложение глючит. 
По пунктам: 
1)Без информирования по факту и предупреждении клиентов заранее, хотя для этого разумеется есть техническая возможность, банк ввёл комиссию на переводы. Это вызывает резонный вопрос к организации и недоверие. Сначала вы внедряете комиссию, а потом также, без предупреждения счета заморозите? В общем, отношение к клиенту понятно! Впрочем, есть другие банки: Альфа, Тинькофф, Райфайзен... из принципа снял все деньги. Не много, 400 тыс, но даже их я больше не намерен держать в вашей организации. 
2) приложение перестало корректно отображать остаток. Зависло на 500 рублях, хотя на счете чуть больше двух тысяч. Попробую переустановить, надеюсь поможет. Годами все работало нормально, а сейчас начинаются какие-то танцы с бубном. Создается впечатление, что все это как-то связанно с изменением собственника банка. 
В России все государственное работает через ж... а теперь ещё и Сбербанк.",СБОЛ. Классические переводы,СБОЛ. Классические переводы,Sberbank ID B2C,СБОЛ. Классические переводы,Sberbank ID B2C,"['ПДВ в Digital', 'Автопереводы', 'Sberbank ID B2C']"
249,"Всё прекрасно, но размер приложения всё больше и больше. Уже 271 мб. При плохом интернете приложение не работает.",iOS Platform,"Размер Всё прекрасно, но размер приложения всё больше и больше. Уже 271 мб. При плохом интернете приложение не работает.",iOS Release Engineer,iOS Release Engineer,Sberbank ID B2C,iOS Release Engineer,iOS Release Engineer,['ЕФС.Платежи МП']
251,версия 10.0,iOS Release Engineer;iOS Platform,сбрасываются настройки версия 10.0,Госуслуги,iOS Release Engineer,iOS Platform,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
253,"Разработчики, вы превзошли сами себя, обновление супер, ну наконец-то!!!!
👍👍👍👍👍",iOS Release Engineer;iOS Platform,"Удивили👍 Разработчики, вы превзошли сами себя, обновление супер, ну наконец-то!!!!
👍👍👍👍👍",Самозанятые,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
254,Было бы круто иметь возможность самому выставлять сумму в предложениях (  на экране оплаты телефонной связи к графе сумма предлагают 100 300 500 ) или чтобы приложение запоминало что я кладу 310 и предлагало эту сумму в дальнейшем,Платежи. Штрафы;ЕФС.Платежи МП,Отлично!+ пожелание Было бы круто иметь возможность самому выставлять сумму в предложениях (  на экране оплаты телефонной связи к графе сумма предлагают 100 300 500 ) или чтобы приложение запоминало что я кладу 310 и предлагало эту сумму в дальнейшем,Самозанятые,ВС.МП вклады,Sberbank ID B2C,ЕФС.Платежи МП,iOS Platform,"['Мессенджер', 'Текстовый чат', 'Global Navigation']"
256,Муж перечислил с Карты на карту сбера а оплатить сразу с Карты коммунальные услуги нельзя пишет не достаточно средств? Т.е. своими средствами я сразу воспользоваться не могу...,СБОЛ. Классические переводы;ЕФС.Автоплатежи;Платежи. Штрафы;ЕФС.Платежи МП,Задержка поступивших средств Муж перечислил с Карты на карту сбера а оплатить сразу с Карты коммунальные услуги нельзя пишет не достаточно средств? Т.е. своими средствами я сразу воспользоваться не могу...,Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,СБОЛ. Классические переводы,СБОЛ. Классические переводы,Плановый и досрочный перевыпуск дебетовых карт,"['Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит', 'Дебетовые карты в мобильном приложении']"
257,"Постоянно начал моросить, переводы с нескольких попыток только получается всегда. Устал",iOS Release Engineer;iOS Platform;СБОЛ. Классические переводы,"Что случилось с приложением Постоянно начал моросить, переводы с нескольких попыток только получается всегда. Устал",ПДВ в Digital,ПДВ в Digital,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Platform,"['ПДВ в Digital', 'Автопереводы', 'СБОЛ. Классические переводы']"
258,"На iPhone 6+, iOS 12.4.6 после обновления перестал работать виджет «Уведомления». Ждёт операций, push приходит, в виджете без изменений.
По совету разработчиков удалил виджет и приложение, переустановил, подключил push - проблема осталась, push приходят, виджет не работает.",Global Navigation;PUSH IOS;iOS Platform;iOS Release Engineer,"Не работает виджет На iPhone 6+, iOS 12.4.6 после обновления перестал работать виджет «Уведомления». Ждёт операций, push приходит, в виджете без изменений.
По совету разработчиков удалил виджет и приложение, переустановил, подключил push - проблема осталась, push приходят, виджет не работает.",iOS Platform,iOS Platform,iOS Platform,iOS Platform,Телеком,"['Телеком', 'Sberbank ID B2C', 'PUSH IOS']"
259,"Большое спасибо, что оставили возможность скрыть уродские карточки. Никчёмная летающая лажа с бесполезной информацией — только место на экране занимала и мешала работать с аппой.",DBP.Витрины продаж;Global Navigation;iOS Platform,"Карточки... Истории... БУЭЭЭ... Большое спасибо, что оставили возможность скрыть уродские карточки. Никчёмная летающая лажа с бесполезной информацией — только место на экране занимала и мешала работать с аппой.",Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,Sberbank ID B2C,iOS Platform,Плановый и досрочный перевыпуск дебетовых карт,"['Развитие лояльности в МП СБОЛ', 'Плановый и досрочный перевыпуск дебетовых карт', 'Дебетовые карты в мобильном приложении']"
260,"Слелайте платёж с уменьшением срока платежа в мобильном приложении.
Мне не удобно приезжать из за операции в отделение Сбербанка.
Я уже оставлял это пожелание, но увы ничего не изменилось.
И пожалуйста информируйте лучше про ваши Акции по кредитным ставкам. Я только после 12 ноября узнал что мог взять кредит под 11% или 12% годовых",DBP.Витрины продаж;Mobile Online POS (Розничный кредит);Цифровой Кредит;[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),"Вам Слелайте платёж с уменьшением срока платежа в мобильном приложении.
Мне не удобно приезжать из за операции в отделение Сбербанка.
Я уже оставлял это пожелание, но увы ничего не изменилось.
И пожалуйста информируйте лучше про ваши Акции по кредитным ставкам. Я только после 12 ноября узнал что мог взять кредит под 11% или 12% годовых",Mobile Online POS (Розничный кредит),Mobile Online POS (Розничный кредит),Sberbank ID B2C,ЕФС.Платежи МП,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),"['Цифровой Кредит', 'Mobile Online POS (Розничный кредит)', '[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)']"
261,В предыдущих версиях было,iOS Release Engineer;Дебетовые карты в мобильном приложении;Плановый и досрочный перевыпуск дебетовых карт,Почему у меня нету реквизитов карты ? В предыдущих версиях было,ПДВ в Digital,ПДВ в Digital,СБОЛ. Классические переводы,iOS Platform,Дебетовые карты в мобильном приложении,"['iOS Release Engineer', 'iOS Platform']"
262,Добрый день! Очень долго стали проходить операции! Верните старую версию. С данной версией у людей могут быть просто переплаты! Либо обрабатывайте платёж в онлайн,iOS Release Engineer;ЕФС.Платежи МП;Платежи. Штрафы;ЕФС.Автоплатежи,Перевод Добрый день! Очень долго стали проходить операции! Верните старую версию. С данной версией у людей могут быть просто переплаты! Либо обрабатывайте платёж в онлайн,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,СБОЛ. Классические переводы,ПДВ в Digital,"['iOS Release Engineer', 'iOS Platform']"
263,После перехода на iOS 13 приложение часто прекращает работу без видимых причин и в ста процентах случаев крашится при посещении раздела «нерегулярные расходы» в «Бюджете». Прошу исправить!,iOS Release Engineer;iOS Platform;PFM Бюджет,Нарушена функциональность После перехода на iOS 13 приложение часто прекращает работу без видимых причин и в ста процентах случаев крашится при посещении раздела «нерегулярные расходы» в «Бюджете». Прошу исправить!,iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,PFM Бюджет,"['PFM Бюджет', 'Цифровой Кредит', 'Mobile Online POS (Розничный кредит)']"
264,"Приложение тормозит , глючит при входе , при отправке денег итд 
Отвратительно , есть желание сменить банк , тинкоф работает идеально , альфа банк идеально .",iOS Release Engineer;iOS Platform,"Тормозит Приложение тормозит , глючит при входе , при отправке денег итд 
Отвратительно , есть желание сменить банк , тинкоф работает идеально , альфа банк идеально .",DBP.Витрины продаж,DBP.Витрины продаж,СБОЛ. Классические переводы,СБОЛ. Классические переводы,Global Navigation,"['ЕФС.Автоплатежи', 'Платежи. Штрафы', 'СБОЛ. Классические переводы']"
267,"Часто показывает уже неактуальный баланс, добавьте кнопку ""обновить""",Global Navigation;iOS Platform;PFM Бюджет,"Недоработка виджета Часто показывает уже неактуальный баланс, добавьте кнопку ""обновить""",ВС.МП вклады,ВС.МП вклады,iOS Platform,iOS Platform,Global Navigation,"['ВС.МП вклады', 'PFM Бюджет', '[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)']"
268,"Максимально неудобно с push уведомлениями! Без интернета не проверишь баланс карты или последнюю покупку. Да и заходить в приложение дольше, чем открыть Сообщения",PUSH IOS;Текстовый чат;Мессенджер,"Верните смс оповещения! Максимально неудобно с push уведомлениями! Без интернета не проверишь баланс карты или последнюю покупку. Да и заходить в приложение дольше, чем открыть Сообщения",Sberbank ID B2C,Плановый и досрочный перевыпуск дебетовых карт,СБОЛ. Классические переводы,iOS Platform,ЕФС.Платежи МП,"['[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)', 'Sberbank ID B2C', 'ВС.МП вклады']"
269,Лагает!!,iOS Platform,Лагает!! Лагает!!,Госуслуги,Госуслуги,Sberbank ID B2C,iOS Platform,iOS Platform,['iOS Platform']
270,🤛🏻,iOS Release Engineer,Это за введение лимита 🤛🏻,Госуслуги,Госуслуги,Sberbank ID B2C,Цифровой Кредит,iOS Platform,[]
271,"Написано 10.2019
Прошел год и:...
Из истории операций нельзя ни шаблон сделать, ни платеж повторить. А из платежа в ФКРемонта не сохранить шаблон. 
На Вопрос в чате: перезвоните (напишите в чат) через 10-20 минут. - может вы напишете по готовности? -нет, напишите в чат через 20 минут. Уж какой тут Искусственный интеллект, тут и с обычным все еще проблемы. Стыдно и грустно. 

Написано в 2018
Интерфейс лучше чем у многих в Москве, но многое все равно сделано через Ж. Уж простите мой французский. Много лишних кликов. Нужная и часто используемая информация часто пропадает с экрана. Часто используемые операции уж можно и при современном убогом ИИ вытащить наверх, наверное. В общем твердая тройка. Хотите улучшать, улучшайте, буду рад помочь. Готов отвечать на вопросы, бета-тестировать и прочее. Если вам, Сбербанк, это нужно.

PS просмотр истории операций сделать бы человеческий. Ну зачем пальчиком год-месяц-день отдельно выбирать и аж два раза? Вы издеваетесь? Вы бы еще в двоичном коде дату ввести попросили :) Позор UX!",ЕФС.Платежи МП;Платежи. Штрафы;История операций;Global Navigation,"твердая теппрь уже двойка Написано 10.2019
Прошел год и:...
Из истории операций нельзя ни шаблон сделать, ни платеж повторить. А из платежа в ФКРемонта не сохранить шаблон. 
На Вопрос в чате: перезвоните (напишите в чат) через 10-20 минут. - может вы напишете по готовности? -нет, напишите в чат через 20 минут. Уж какой тут Искусственный интеллект, тут и с обычным все еще проблемы. Стыдно и грустно. 

Написано в 2018
Интерфейс лучше чем у многих в Москве, но многое все равно сделано через Ж. Уж простите мой французский. Много лишних кликов. Нужная и часто используемая информация часто пропадает с экрана. Часто используемые операции уж можно и при современном убогом ИИ вытащить наверх, наверное. В общем твердая тройка. Хотите улучшать, улучшайте, буду рад помочь. Готов отвечать на вопросы, бета-тестировать и прочее. Если вам, Сбербанк, это нужно.

PS просмотр истории операций сделать бы человеческий. Ну зачем пальчиком год-месяц-день отдельно выбирать и аж два раза? Вы издеваетесь? Вы бы еще в двоичном коде дату ввести попросили :) Позор UX!",Платежи. Штрафы,Платежи. Штрафы,Sberbank ID B2C,СБОЛ. Классические переводы,История операций,"['ЕФС.Платежи МП', 'Global Navigation', 'Платежи. Штрафы']"
273,"Разработчики, я не знаю что у вас там происходит и как вы делали приложение. Но у меня последний на данный момент айфон и он безумно сильно греется именно в вашем приложении. Это издевательство для процессора и рук, которые просто телефон держать не могут. Криворукие разрабы, чес слово",iOS Platform,"Очень сильно греется телефон!!! Разработчики, я не знаю что у вас там происходит и как вы делали приложение. Но у меня последний на данный момент айфон и он безумно сильно греется именно в вашем приложении. Это издевательство для процессора и рук, которые просто телефон держать не могут. Криворукие разрабы, чес слово",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Platform,['iOS Platform']
274,Hello please add the English language in application. Thanks,iOS Platform,Add Englishh language Hello please add the English language in application. Thanks,ПДВ в Digital,ПДВ в Digital,iOS Platform,iOS Platform,iOS Platform,[]
275,"Я недели 2 с горем пополам захожу в приложение. И с iOS13 и до обновления одинаковые проблемы. Логиниться по минуте потом пишет, что плохое соединение. wi-fi, LTE - одна и та же ошибка. Раза с 15 удаётся зайти. Приложение обновлено. Устал...",iOS Release Engineer;Global Navigation;iOS Platform,"В приложение не зайти Я недели 2 с горем пополам захожу в приложение. И с iOS13 и до обновления одинаковые проблемы. Логиниться по минуте потом пишет, что плохое соединение. wi-fi, LTE - одна и та же ошибка. Раза с 15 удаётся зайти. Приложение обновлено. Устал...",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
276,"После обновления постоянно исчезают настройки разделов меню на главной странице. Мне, например, не нужны разделы Металлы или Инвестиции, я их скрываю, но при следующем запуске приложения все настройки по умолчанию с активными разделами. 
Также не сохраняются настройки звуковых уведомлений.",PUSH IOS;[ЕФС] Б.УБ.СБОЛ.Баллонг,"Звуки и разделы меню После обновления постоянно исчезают настройки разделов меню на главной странице. Мне, например, не нужны разделы Металлы или Инвестиции, я их скрываю, но при следующем запуске приложения все настройки по умолчанию с активными разделами. 
Также не сохраняются настройки звуковых уведомлений.",iOS Platform,iOS Release Engineer,Global Navigation,Global Navigation,iOS Release Engineer,"['PFMMPLACE', '[ЕФС] Б.УБ.СБОЛ.Баллонг', 'Sberbank ID B2C']"
277,С последнего обновления приложение не открывается. Логотип на белом и сразу выкидывает. Нет доступа к банку. Что происходит?,iOS Release Engineer;iOS Platform,Не открывается С последнего обновления приложение не открывается. Логотип на белом и сразу выкидывает. Нет доступа к банку. Что происходит?,iOS Platform,iOS Release Engineer,Sberbank ID B2C,iOS Platform,iOS Platform,"['iOS Release Engineer', 'iOS Platform']"
278,Планируете ли вы добавить темный режим в приложение ? Было бы идеально,iOS Release Engineer;iOS Platform,Темная тема Планируете ли вы добавить темный режим в приложение ? Было бы идеально,Самозанятые,iOS Release Engineer,iOS Platform,iOS Platform,iOS Platform,[]
281,"При переводе с карты на карту внутри Сбера комиссия,  это между регионами... В других банках такого не видел!",СБОЛ. Классические переводы;Автопереводы,"Позор!!! При переводе с карты на карту внутри Сбера комиссия,  это между регионами... В других банках такого не видел!",СБОЛ. Классические переводы,СБОЛ. Классические переводы,Sberbank ID B2C,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['ПДВ в Digital', 'Автопереводы', 'Sberbank ID B2C']"
282,НеНевозможно зайти,Global Navigation;iOS Platform,Не айс НеНевозможно зайти,Комиссионные продукты,Комиссионные продукты,iOS Platform,iOS Platform,iOS Platform,[]
283,Тупит страшно !,iOS Platform,Тормозит Тупит страшно !,Комиссионные продукты,Комиссионные продукты,iOS Platform,iOS Platform,,[]
285,Все хорошо и понятно. А вот в информации по кредиту не хватает графика платежей,Цифровой Кредит;[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы);Платежи. Штрафы;ЕФС.Платежи МП,График платежей по кредитам Все хорошо и понятно. А вот в информации по кредиту не хватает графика платежей,Цифровой Кредит,Цифровой Кредит,ЕФС.Платежи МП,ЕФС.Автоплатежи,ЕФС.Автоплатежи,"['[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)', 'ЕФС.Платежи МП']"
286,"Пишет что для системы ufc получение токена в данный момент недоступно, и не могу пополнить счёт мобильного.",ЕФС.Платежи МП;iOS Platform;СБОЛ. Классические переводы,"Невозможно выполнить операции Пишет что для системы ufc получение токена в данный момент недоступно, и не могу пополнить счёт мобильного.",iOS Platform,Mobile Online POS (Розничный кредит),Sberbank ID B2C,СБОЛ. Классические переводы,iOS Platform,[]
